label,text
NOT_SARCASM,Less than 5 minutes after getting my phone back after staff training week at camp I ran my face into a tree branch whilst texting
SARCASM,Love seeing 15 year olds being vaccinated in the states when I have to wait till the end of June for my first one
SARCASM,I get a lot of boy who cried wolf vibes from the Red Cross and their emergency blood shortages all the time
SARCASM,im about to just walk into a place and start working then and there and they'll have no choice but to hire me on the spot
NOT_SARCASM,Every time I comment on a TikTok asking for captions and the creator actually starts adding captions I get a happy little feeling in my chest thank you 💜💜💜💜
SARCASM,"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can’t wait for part 2. 
#murderhornets"
NOT_SARCASM,@mikk2k2 @ArgoBlockchain All/any updates are fully appreciated Mike. Many thanks
NOT_SARCASM,I love my writing teacher sm plsss
SARCASM,If anyone wants to know how my nights going I tried making a private story on Snapchat and instead made a group chat... I hate my life
SARCASM,Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar
NOT_SARCASM,"there isn’t a labor shortage. no one wants to work at a minimum wage job with no benefits; where hogs &amp; karens get free meals and coupons for throwing tantrums. 

idk how this is news to anyone under 30."
NOT_SARCASM,"My children are 18, 9, and 7.  They have never known their nation at peace #ww111"
NOT_SARCASM,Selling my 4 day lollapalooza pass! Message me if interested!
NOT_SARCASM,@PetsatHome racial stereotyping is the problem. Please listen and retrain your staff. https://t.co/UvLkji9s5H
NOT_SARCASM,really not taking this 'university in lockdown' thing seriously
SARCASM,"As if I didn't know this anyway!
I'm an Owl according to the #BBCBodyClock quiz – what are you? https://t.co/vM07K82CTg"
NOT_SARCASM,The meaning behind Little Talks - @monstersandmen has to be the most pure example of love I've heard in a song for at least a little while #ILoveYou
NOT_SARCASM,@Fatmangoes2 @avarebecca919 @daviddunn177 @SethAbramson It geta weirder and weirder and I think the only good guy was a drug dealer that has actually murdered people.
NOT_SARCASM,"okay ""deja vu"" is doing something for me that ""driver's license"" never did, and I think it might have something to do with those washed-out, low-fi drums that come in at like, 1:30. 10/10 production choice"
NOT_SARCASM,i just sewed through my finger and my brain is just like ' how annoying is it that i just broke another needle and i'm going to have to buy some more' instead of OW I have 2 holes in my finger. can i swap brains
NOT_SARCASM,my eye doctor is so cute and charming ok
NOT_SARCASM,"Had a look at the hashtag for #Malignant and tbh - it’s fine. The last 5 years have had some really new ideas in horror - this is no new ideas, but lots more body horror. And hot take: I’m not sure you can do body horror without being some kind of problematic."
NOT_SARCASM,My best friend rly is my soulmate
SARCASM,If you don't like Lemonade you're an extremist 🍋
NOT_SARCASM,"Doggo owners have started walking the dogs around the technology park I work on &amp; I can see them all from my desk. 

This is the only positive of working from the office"
