label,text
NOT,@USER @USER i wish they'd keep in up through the elections . especially antifa .
NOT,( so the young conservatives you know are also the ones who never had the focus to power through order of the phoenix and its too-many pages of harry's teen angst . )
OFF,@USER @USER @USER @USER @USER aaron finding the sending if a locomotive funny . he is aware it symbolises the trains jews were sent to their deaths on .
OFF,@USER just listening to juan williams on the five drives me crazy . he is such an ignorant man . where does this man get his facts ? thank god for jesse waters and you ladies !
NOT,@USER maybe she's just mad that you don't “attack” her enough that she is getting as much work as she did at the height of her “victimhood” period ? i always told you that she only got that much work for that long was by parlaying victim points from your criticism into work offers .
OFF,honestly we all know he's stupid but what is actually surprising is how dumb and easily persuaded the people of our country are . . he'll say shit like this and every white redneck is screaming “yeah maga baby” url
NOT,@USER i completely agree ! we can uphold the second amendment and have common sense gun control . i'm a responsible gun owner . but no citizen needs military grade weapons or high capacity magazines . to find the problem : follow the $ !
NOT,@USER as a recent visitor to ireland . i suggest he doesn't go . he is not liked there any more than he is liked in america .
NOT,@USER @USER @USER @USER so pleased you gave me the oppotunity to show some more truth1 thanks so much i love to use supporters of the corrupt as a billboard ! url
OFF,@USER this nigga prob made her infertile god only knows all the germs he brought back
NOT,ahh my ears hurt from listening in the earphones . . still his voice was sexy
NOT,"@USER never trumper uses brain for first time , wakes up to the fight #MAGA community has been waging for two years . "" """
OFF,@USER thanks for being a bad bitch we can believe in url
NOT,@USER @USER both of them . . . . .
OFF,@USER @USER @USER @USER @USER he lost his virginity this process has been turned into a clown show protestors democrats paid for was unethical there hate shows in everyway trump denounced natzi group and bad on both sides which is true but democrats refuse to denounce antifa a democratic domestic terror-
NOT,@USER @USER @USER now we just need antifa outside when they confirm kavanaugh
NOT,@USER he is like a cheap plastic version of a real president .
NOT,@USER @USER @USER if you think i was referring specifically to you then you misunderstood . you attacked someone without a uterus saying they have no say on reproductive rights . using that argument then if you do not own firearms you have no right to comment on gun control .
NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER man . . . can't believe we've lost these 2 as of recently . 2 most iconic actors of the 70s . url
NOT,@USER @USER and you are sure she is lying ?
NOT,&gt ; well . . . she is the most kindest person in the universe ! she has the most beautiful eyes . . . and hair . she was the first person . . . to be actually nice to me . . . i only meet her a day ago . . . but i am absolutely smitten . url
OFF,/63 more evidence liberals only goal is to sabotage #NAFTA to make trump the enemy and to get trump hate vote in canada for election 2019 . url
NOT,#LeviStrauss takes stand on #GunControl #CBS #SanFrancisco url #NoMoreLevis #guns #NRA #USA @USER #GOP #libertarian #conservative
OFF,@USER @USER antifa aren't fascist they're terrorist
NOT,@USER for someone unqualified he seems to be doing a darned good job .
OFF,@USER maga= mushrooms are growing again
OFF,"@USER @USER hey @USER the only men "" not doing the right thing are #liberals and #Democrats : @USER @USER @USER rapists , abusers and criminals . so you can kiss my white a$$ url"
NOT,@USER @USER apparently they didn't learn from gun control .
NOT,@USER @USER @USER honestly i think she should concentrate more on her acting career rather than twitter . . . . she is fantastic actress . . . but all these twitter comments and political comments will only divert her focus . . . kuch toh log kahenge . . unko kaam hai kehna
OFF,@USER to quit sex ?
OFF,@USER what are you doing joe ? i swear it seems like he is doing this shit intentionally to show us fans up or put us in the hospital for heart attacks . #EverybodyIn @USER
OFF,@USER @USER he is an embarrassment
NOT,@USER you are here
NOT,@USER @USER @USER @USER @USER one of them just called me 'politically and morally bankrupt' because i said i would get behind him if he opposed brexit 😐😂
NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER he's not wrong !
OFF,@USER i really hope you don't block me until after next monday . i want to see this page's reaction when kavanaugh gets confirmed to the supreme court . that gun control is effectively dead .
NOT,. @USER you're stripping americans of citizenship ? attacking the poor again as well - home births being more affordable . my little niece was born at home - unplanned drama . she is 14th generation proven +native . you're going to challenge her citizenship ? url
NOT,@USER @USER @USER @USER @USER @USER @USER preach it ! god's people deserve better ! url
NOT,@USER @USER the right to protest . protesting during the anthem causes people to not even recognize what he is protesting nobody's even talking about the issue just the fact that he's kneeling during the anthem which is counterproductive
OFF,@USER i think it's more of a choice for ppl to stay hooked on shit
NOT,@USER we met ian sinclair there he does brook ( ? ) from one piece . i wish i would've known more of the characters the voice actors we met did
NOT,@USER @USER @USER @USER well you are fabulous
NOT,@USER dianne feinstein disagrees . she effectively called the woman a liar
NOT,@USER @USER @USER ahh tom 👏👏 she is right though it's v good
OFF,@USER @USER @USER please get off first take ! you yell wayy too much and you seem like you are being a asshole . when you are on set i litterly can't hear anything but screaming . its obvious @USER dont like you and @USER and @USER was like dude stfu ! !
NOT,@USER @USER @USER you can compare any two countries you like and you'll always find the one with stricter gun control has a lower murder rate with no pattern in democratic freedoms .
OFF,@USER just saw your algae commercial blaming @USER that's pretty rich considering you are the gov and have done zero zip and now you want to be senator of fl .
NOT,@USER nope . i won't trade him he is to much fun . plus we can't spell hope without him
OFF,@USER @USER @USER @USER principled conservatives know canadian liberal media 24/7 @USER hate news is only to help justin trudeau it's obvious you're one who's being manipulated and that hurts canada . read my 60 pinned tweet thread for explanation . i see you ignore trumps support israel
NOT,"@USER @USER @USER @USER @USER pretty sure u . s . conservatives are taking cues from this . . . rightwing government wants to make handshake mandatory in naturalisation ceremonies "" url"
NOT,@USER looking forward to seeing what you are bringing to the market . the rum market has needed some quality infusion for quite some time . fingers crossed for a quality spiced rum .
OFF,@USER ummm . you are one of those people that shouldn't be there . 😂
NOT,@USER she is really putting one the act she has been in a hotel and have money to eat and also go to museum and her home is ok
NOT,@USER @USER you cut it early or you would have heard their complaints . smh
NOT,@USER @USER never heard of this guy .
OFF,@USER @USER liberals as per odia standards 👆 . . . . rw is liberal when it comes to my state 🤣🤣
NOT,@USER @USER nice pic
OFF,@USER @USER bt1100 ass malfunction
NOT,@USER @USER is trying too hard to create a racist agenda .
NOT,@USER so innocent until proven guilty only applies to liberals ? ? ? ? ?
NOT,@USER @USER @USER @USER democrat=antifa . same bunch .
OFF,@USER @USER @USER @USER @USER obama never laments for those that are killed in chicago every week . chicago his old stomping ground . ask him how those draconian gun control laws are working there ? and watch him blame indiana .
OFF,@USER @USER @USER it started with cameron and may is even worse . she is not a conservative !
NOT,@USER @USER why is john kerry running his mouth again as if we cared about what he has to say ? i can't think of a single damn thing kerry has accomplished besides run his mouth . trump's accomplishments exceed anything kerry could ever dream of . even before becoming president !
NOT,"@USER @USER just imagine the divorce case if she hadn't murdered him . your honor , i would like to introduce into evidence the book wherein she details how she is planning to kill me . . . "" """
OFF,@USER yeah ! you can't just wing cooking ! there's all kinds of measurements you need to follow otherwise it'll end up tasting like garbage .
NOT,@USER get her out and a new day will dawn what will you have for brexit ?
OFF,"@USER @USER @USER that's a black referring to a group . markedly different from affluent white people calling ben carson or any other prominent conservative that term . i'm thinking more of stuff like this : url antifa n word "" is quite a fruitful search . """
NOT,household net worth : $107 trillion url #MAGA
OFF,"@USER hasn't this flake left yet ? how dare these people hang a man without evidence and at the word of a loon with repressed memory . "" sue her and i bet she shuts up fast . """
NOT,"@USER it's now abundantly clear that a lack of common sense gun control measures "" wasn't the real reason behind this , but rather an incompetent school board and a failure to act upon reports - poor staff security training too . """
OFF,@USER because you are 💩
NOT,@USER this is an excellent way for antifa members to take the room temperature challenge .
OFF,ain't no pussy good enough to get broke while i'm in it
OFF,@USER it's exactly why i tweet ! ! well that and making fun of liberals and their insanity ! ! 🙏🇺🇸❤️✝️❤️🇺🇸🙏 god help ! ! ! 🙏❤️✝️✝️❤️🙏
NOT,we need more unity to grow our voices . . . . . . . . . libs seem to band together much better than right . . . . . . . . follow all #MAGA patriots please ! ! ! 🇺🇸 url
OFF,6 more white boys standing up for you every day ms . . @USER i think the poster adds speshul emphasis . don't you ? #MAGA #WWG1WGA url
OFF,@USER bitter obama ? how about seriously worried obama . he is the head of all this corruption at fbi and doj .
NOT,add who is behind antifa and who organized and paid protestors at kavanaugh hearing ! 🇺🇸 url
NOT,#TalkLikeAPirateDay uk scurvy pirate @USER plundered #1950swomen 's state pension chest &amp ; refuse to parlay marooned us with no gold doubloons only wormy biscuits #1950sbornwomen will sail alongside blast a broadside &amp ; make them walk plank ⚖️ #backto60 #onevoice url
