label,text
NOT_OFFENSIVE,@USER @USER i wish they'd keep in up through the elections . especially antifa .
NOT_OFFENSIVE,( so the young conservatives you know are also the ones who never had the focus to power through order of the phoenix and its too-many pages of harry's teen angst . )
OFFENSIVE,@USER @USER @USER @USER @USER aaron finding the sending if a locomotive funny . he is aware it symbolises the trains jews were sent to their deaths on .
OFFENSIVE,@USER just listening to juan williams on the five drives me crazy . he is such an ignorant man . where does this man get his facts ? thank god for jesse waters and you ladies !
NOT_OFFENSIVE,@USER maybe she's just mad that you don't “attack” her enough that she is getting as much work as she did at the height of her “victimhood” period ? i always told you that she only got that much work for that long was by parlaying victim points from your criticism into work offers .
OFFENSIVE,honestly we all know he's stupid but what is actually surprising is how dumb and easily persuaded the people of our country are . . he'll say shit like this and every white redneck is screaming “yeah maga baby” url
NOT_OFFENSIVE,@USER i completely agree ! we can uphold the second amendment and have common sense gun control . i'm a responsible gun owner . but no citizen needs military grade weapons or high capacity magazines . to find the problem : follow the $ !
NOT_OFFENSIVE,@USER as a recent visitor to ireland . i suggest he doesn't go . he is not liked there any more than he is liked in america .
NOT_OFFENSIVE,@USER @USER @USER @USER so pleased you gave me the oppotunity to show some more truth1 thanks so much i love to use supporters of the corrupt as a billboard ! url
OFFENSIVE,@USER this nigga prob made her infertile god only knows all the germs he brought back
NOT_OFFENSIVE,ahh my ears hurt from listening in the earphones . . still his voice was sexy
NOT_OFFENSIVE,"@USER never trumper uses brain for first time , wakes up to the fight #MAGA community has been waging for two years . "" """
OFFENSIVE,@USER thanks for being a bad bitch we can believe in url
NOT_OFFENSIVE,@USER @USER both of them . . . . .
OFFENSIVE,@USER @USER @USER @USER @USER he lost his virginity this process has been turned into a clown show protestors democrats paid for was unethical there hate shows in everyway trump denounced natzi group and bad on both sides which is true but democrats refuse to denounce antifa a democratic domestic terror-
NOT_OFFENSIVE,@USER @USER @USER now we just need antifa outside when they confirm kavanaugh
NOT_OFFENSIVE,@USER he is like a cheap plastic version of a real president .
